Number of literals: 10374
Constructing lookup tables: [10%] [20%] [30%] [40%] [50%] [60%] [70%] [80%] [90%] [100%]
Post filtering unreachable actions:  [10%] [20%] [30%] [40%] [50%] [60%] [70%] [80%] [90%] [100%]
[01;34mNo analytic limits found, not considering limit effects of goal-only operators[00m
Pruning (drive-engine e3 p745 p1 broad) - never appeared in initial RPG
Pruning (drive-engine e4 p745 p1 broad) - never appeared in initial RPG
Pruning (drive-engine e5 p745 p1 broad) - never appeared in initial RPG
Pruning (drive-engine e6 p745 p1 broad) - never appeared in initial RPG
Pruning (drive-engine e7 p745 p1 broad) - never appeared in initial RPG
Pruning (drive-engine e3 p650 p100 broad) - never appeared in initial RPG
Pruning (drive-engine e4 p650 p100 broad) - never appeared in initial RPG
Pruning (drive-engine e5 p650 p100 broad) - never appeared in initial RPG
Pruning (drive-engine e6 p650 p100 broad) - never appeared in initial RPG
Pruning (drive-engine e7 p650 p100 broad) - never appeared in initial RPG
Pruning (drive-engine e3 p825 p100 broad) - never appeared in initial RPG
Pruning (drive-engine e4 p825 p100 broad) - never appeared in initial RPG
Pruning (drive-engine e5 p825 p100 broad) - never appeared in initial RPG
Pruning (drive-engine e6 p825 p100 broad) - never appeared in initial RPG
Pruning (drive-engine e7 p825 p100 broad) - never appeared in initial RPG
Pruning (drive-engine e3 p637 p102 broad) - never appeared in initial RPG
Pruning (drive-engine e4 p637 p102 broad) - never appeared in initial RPG
Pruning (drive-engine e5 p637 p102 broad) - never appeared in initial RPG
Pruning (drive-engine e6 p637 p102 broad) - never appeared in initial RPG
Pruning (drive-engine e7 p637 p102 broad) - never appeared in initial RPG
Pruning (drive-engine e3 p807 p102 broad) - never appeared in initial RPG
Pruning (drive-engine e4 p807 p102 broad) - never appeared in initial RPG
Pruning (drive-engine e5 p807 p102 broad) - never appeared in initial RPG
Pruning (drive-engine e6 p807 p102 broad) - never appeared in initial RPG
Pruning (drive-engine e7 p807 p102 broad) - never appeared in initial RPG
Pruning (drive-engine e3 p656 p104 broad) - never appeared in initial RPG
Pruning (drive-engine e4 p656 p104 broad) - never appeared in initial RPG
Pruning (drive-engine e5 p656 p104 broad) - never appeared in initial RPG
Pruning (drive-engine e6 p656 p104 broad) - never appeared in initial RPG
Pruning (drive-engine e7 p656 p104 broad) - never appeared in initial RPG
Pruning (drive-engine e3 p692 p106 broad) - never appeared in initial RPG
Pruning (drive-engine e4 p692 p106 broad) - never appeared in initial RPG
Pruning (drive-engine e5 p692 p106 broad) - never appeared in initial RPG
Pruning (drive-engine e6 p692 p106 broad) - never appeared in initial RPG
Pruning (drive-engine e7 p692 p106 broad) - never appeared in initial RPG
Pruning (drive-engine e3 p707 p107 broad) - never appeared in initial RPG
Pruning (drive-engine e4 p707 p107 broad) - never appeared in initial RPG
Pruning (drive-engine e5 p707 p107 broad) - never appeared in initial RPG
Pruning (drive-engine e6 p707 p107 broad) - never appeared in initial RPG
Pruning (drive-engine e7 p707 p107 broad) - never appeared in initial RPG
Pruning (drive-engine e3 p752 p11 broad) - never appeared in initial RPG
Pruning (drive-engine e4 p752 p11 broad) - never appeared in initial RPG
Pruning (drive-engine e5 p752 p11 broad) - never appeared in initial RPG
Pruning (drive-engine e6 p752 p11 broad) - never appeared in initial RPG
Pruning (drive-engine e7 p752 p11 broad) - never appeared in initial RPG
Pruning (drive-engine e3 p665 p110 broad) - never appeared in initial RPG
Pruning (drive-engine e4 p665 p110 broad) - never appeared in initial RPG
Pruning (drive-engine e5 p665 p110 broad) - never appeared in initial RPG
Pruning (drive-engine e6 p665 p110 broad) - never appeared in initial RPG
Pruning (drive-engine e7 p665 p110 broad) - never appeared in initial RPG
Pruning (drive-engine e3 p754 p114 broad) - never appeared in initial RPG
Pruning (drive-engine e4 p754 p114 broad) - never appeared in initial RPG
Pruning (drive-engine e5 p754 p114 broad) - never appeared in initial RPG
Pruning (drive-engine e6 p754 p114 broad) - never appeared in initial RPG
Pruning (drive-engine e7 p754 p114 broad) - never appeared in initial RPG
Pruning (drive-engine e3 p735 p117 broad) - never appeared in initial RPG
Pruning (drive-engine e4 p735 p117 broad) - never appeared in initial RPG
Pruning (drive-engine e5 p735 p117 broad) - never appeared in initial RPG
Pruning (drive-engine e6 p735 p117 broad) - never appeared in initial RPG
