Instance,Solved,Makespan,PlanLength,TotalDelay,SlowdownDelay,BlockageDelay,EngineRepairDelay,Time,States,MemoryError,Timeout
p85,1,36.001,198,0.000,0.000,0.000,0.000,31.470,199,0,0
p86,1,34.982,200,0.000,0.000,0.000,0.000,35.170,201,0,0
p87,1,35.654,204,0.000,0.000,0.000,0.000,33.860,205,0,0
p88,1,32.732,206,0.000,0.000,0.000,0.000,35.220,207,0,0
p89,1,35.315,208,0.000,0.000,0.000,0.000,36.200,209,0,0
p90,1,34.334,212,0.000,0.000,0.000,0.000,38.040,213,0,0
p91,1,34.982,214,0.000,0.000,0.000,0.000,38.220,215,0,0
p92,1,34.655,216,0.000,0.000,0.000,0.000,40.860,217,0,0
p93,1,33.711,220,0.000,0.000,0.000,0.000,43.110,221,0,0
p94,1,35.315,222,0.000,0.000,0.000,0.000,43.390,223,0,0
p95,1,36.001,226,0.000,0.000,0.000,0.000,45.750,227,0,0
p96,1,35.315,228,0.000,0.000,0.000,0.000,46.490,229,0,0
p97,1,35.315,230,0.000,0.000,0.000,0.000,48.160,231,0,0
p98,1,35.315,234,0.000,0.000,0.000,0.000,49.500,235,0,0
p99,1,35.654,236,0.000,0.000,0.000,0.000,50.350,237,0,0
p100,1,35.315,240,0.000,0.000,0.000,0.000,53.370,241,0,0
